P1,P2,P3,P4,P5,P6,P7,P8
0,0,0,0,8,18,48,6
0,0,0,0,140,18,65,155
0,0,0,0,212,18,50,212
0,0,0,0,112,18,89,151
0,0,0,0,8,18,92,50
0,0,0,0,92,18,124,166
0,0,0,0,4,18,166,120
0,0,0,0,52,18,253,255
0,0,0,0,124,18,157,231
0,0,0,0,216,18,87,253
0,0,0,0,76,18,82,108
0,0,0,0,32,18,101,83
0,0,0,0,104,18,18,72
0,0,0,0,140,17,68,157
0,0,0,0,104,16,32,84
0,0,0,0,208,14,108,6
0,0,0,0,128,14,38,112
0,0,0,0,184,15,89,220
0,0,0,0,32,18,127,109
0,0,0,0,176,19,23,150
0,0,0,0,164,20,39,155
0,0,0,0,144,20,120,216
0,0,0,0,192,20,177,65
0,0,0,0,168,20,79,199
0,0,0,0,88,19,209,248
0,0,0,0,60,19,187,198
0,0,0,0,100,22,34,88
0,0,0,0,220,22,68,242
0,0,0,0,112,22,56,122
0,0,0,0,168,22,49,171
0,0,0,0,0,22,49,3
0,0,0,0,212,22,49,215
0,0,0,0,136,22,52,142
0,0,0,0,148,19,17,116
0,0,0,0,232,18,70,252
0,0,0,0,60,18,1,11
0,0,0,0,28,17,80,57
0,0,0,0,252,17,38,239
0,0,0,0,120,11,151,214
0,0,0,0,112,7,211,6
0,0,0,0,76,0,0,8
0,0,0,0,76,0,0,8
0,0,0,0,76,0,0,8
0,0,0,0,76,0,0,8
0,0,0,0,76,0,0,8
0,0,0,0,76,0,0,8
0,0,0,0,76,0,0,8
0,0,0,0,76,0,0,8
0,0,0,0,76,0,164,172
0,0,0,0,76,0,244,252
0,0,0,0,104,2,231,13
0,0,0,0,116,7,142,197
0,0,0,0,252,8,183,119
0,0,0,0,148,9,183,16
0,0,0,0,124,11,121,188
0,0,0,0,196,11,246,129
0,0,0,0,204,14,110,4
0,0,0,0,24,14,194,164
0,0,0,0,120,15,9,76
0,0,0,0,200,16,60,208
0,0,0,0,212,17,216,121
0,0,0,0,236,17,231,160
0,0,0,0,44,18,109,103
0,0,0,0,44,19,155,150
0,0,0,0,72,19,172,195
0,0,0,0,44,19,145,140
0,0,0,0,60,19,146,157
0,0,0,0,252,19,1,204
0,0,0,0,8,19,13,228
0,0,0,0,40,19,21,12
0,0,0,0,84,19,21,56
0,0,0,0,32,19,103,86
0,0,0,0,36,19,133,120
0,0,0,0,224,21,130,51
0,0,0,0,96,18,241,31
0,0,0,0,116,18,191,1
0,0,0,0,248,16,100,40
0,0,0,0,88,16,117,153
0,0,0,0,252,16,189,133
0,0,0,0,36,17,69,54
0,0,0,0,140,10,233,59
0,0,0,0,220,10,105,11
0,0,0,0,16,10,100,58
0,0,0,0,0,16,165,113
0,0,0,0,8,16,183,139
0,0,0,0,220,16,229,141
0,0,0,0,28,17,45,22
0,0,0,0,252,15,136,79
0,0,0,0,20,13,178,143
0,0,0,0,136,12,253,77
0,0,0,0,32,13,157,134
0,0,0,0,164,12,190,42
0,0,0,0,100,13,113,158
0,0,0,0,156,13,150,251
0,0,0,0,120,13,232,41
0,0,0,0,68,14,11,25
0,0,0,0,216,15,241,148
0,0,0,0,4,16,7,215
0,0,0,0,200,16,13,161
0,0,0,0,244,14,14,204
0,0,0,0,72,13,208,225
0,0,0,0,224,11,76,243
0,0,0,0,228,11,73,244
0,0,0,0,60,11,42,45
0,0,0,0,112,10,240,38
0,0,0,0,124,10,231,41
0,0,0,0,240,8,66,246
0,0,0,0,36,8,80,56
0,0,0,0,152,8,192,28
0,0,0,0,160,9,82,183
0,0,0,0,88,10,146,176
0,0,0,0,124,10,212,22
0,0,0,0,80,11,120,143
0,0,0,0,128,13,136,209
0,0,0,0,44,14,10,0
0,0,0,0,12,14,48,6
0,0,0,0,116,14,25,87
0,0,0,0,252,14,18,216
0,0,0,0,172,14,99,217
0,0,0,0,220,14,107,17
0,0,0,0,232,14,198,120
0,0,0,0,24,13,124,93
0,0,0,0,28,12,51,23
0,0,0,0,36,12,187,167
0,0,0,0,144,12,251,83
0,0,0,0,212,13,41,198
0,0,0,0,0,13,243,188
0,0,0,0,40,14,23,9
0,0,0,0,196,14,161,47
0,0,0,0,108,15,92,147
0,0,0,0,232,14,216,138
0,0,0,0,156,14,8,110
0,0,0,0,184,13,254,127
0,0,0,0,104,13,194,243
0,0,0,0,180,13,74,199
0,0,0,0,176,12,138,2
0,0,0,0,240,13,112,41
0,0,0,0,112,14,49,107
0,0,0,0,28,16,114,90
0,0,0,0,96,16,146,190
